Id,SalePrice
1461,124269.75
1462,155654.59
1463,179761.59
1464,181933.94
1465,190172.95
1466,180978.69
1467,172887.0
1468,169560.32
1469,177548.55
1470,123828.84
1471,201935.16
1472,97256.0
1473,100092.0
1474,152551.0
1475,129175.25
1476,385286.87
1477,250957.97
1478,301561.82
1479,267591.37
1480,452805.75
1481,301965.81
1482,207953.31
1483,180364.61
1484,171630.22
1485,174817.88
1486,199933.9
1487,304269.73
1488,232076.99
1489,207800.12
1490,209024.41
1491,190500.37
1492,100449.32
1493,180088.0
1494,302877.63
1495,294973.16
1496,226810.09
1497,189528.39
1498,153289.08
1499,153643.18
1500,157025.33
1501,174407.06
1502,160274.43
1503,278340.53
1504,232115.36
1505,212070.42
1506,176420.0
1507,233912.45
1508,189709.07
1509,160729.5
1510,151330.82
1511,149780.0
1512,169265.35
1513,150263.7
1514,158687.38
1515,190305.79
1516,160483.57
1517,154253.5
1518,135372.29
1519,221440.67
1520,137775.0
1521,144607.55
1522,161587.0
1523,112522.48
1524,123089.44
1525,124287.66
1526,129276.36
1527,106898.12
1528,126156.75
1529,139836.82
1530,163056.5
1531,130070.0
1532,107729.0
1533,150023.5
1534,115744.06
1535,148958.46
1536,120865.63
1537,87629.52
1538,174503.35
1539,241026.34
1540,122578.37
1541,142200.71
1542,139232.84
1543,208069.93
1544,85989.37
1545,101128.0
1546,122135.5
1547,136508.63
1548,133338.71
1549,117571.13
1550,147574.34
1551,121813.0
1552,149198.87
1553,145744.62
1554,115755.36
1555,168806.14
1556,95949.04
1557,123709.22
1558,92146.97
1559,117669.8
1560,150309.12
1561,146166.73
1562,125833.58
1563,125161.75
1564,161922.74
1565,158984.0
1566,229488.4
1567,87194.97
1568,220092.5
1569,152699.94
1570,133605.65
1571,130599.92
1572,146419.75
1573,233563.01
1574,127348.38
1575,217041.6
1576,225014.06
1577,204520.09
1578,146153.87
1579,148557.1
1580,191514.5
1581,139560.0
1582,128953.0
1583,332331.84
1584,239134.49
1585,141190.5
1586,80438.71
1587,108181.0
1588,145361.23
1589,105938.92
1590,136836.78
1591,105181.55
1592,128293.35
1593,118551.33
1594,148896.54
1595,125481.32
1596,222398.04
1597,171738.41
1598,187547.1
1599,196507.25
1600,184819.56
1601,78941.22
1602,113403.75
1603,97798.05
1604,284437.96
1605,253092.64
1606,168726.4
1607,172080.55
1608,223255.64
1609,196501.59
1610,164236.56
1611,152726.69
1612,170667.18
1613,170925.5
1614,124987.2
1615,87607.0
1616,80169.0
1617,86442.5
1618,125179.08
1619,134671.4
1620,173590.87
1621,140706.15
1622,144260.42
1623,296305.44
1624,213596.08
1625,129217.12
1626,171912.32
1627,184843.64
1628,277223.17
1629,175042.0
1630,349660.1
1631,211856.88
1632,258974.27
1633,172338.22
1634,184934.23
1635,178728.15
1636,164536.88
1637,184086.32
1638,210673.95
1639,178252.19
1640,250183.37
1641,178716.0
1642,226218.15
1643,229697.77
1644,227198.66
1645,181527.0
1646,156886.0
1647,155656.85
1648,141640.0
1649,138664.92
1650,123394.5
1651,121259.16
1652,93565.0
1653,98296.5
1654,153442.77
1655,147723.76
1656,149806.0
1657,151935.8
1658,155139.5
1659,134514.0
1660,150120.4
1661,447574.28
1662,371353.07
1663,373471.51
1664,464006.29
1665,314235.64
1666,335225.52
1667,351480.67
1668,329580.29
1669,294701.22
1670,336327.66
1671,267197.89
1672,443029.86
1673,296248.24
1674,249262.5
1675,194961.66
1676,191069.54
1677,217126.37
1678,467152.16
1679,392509.93
1680,321515.45
1681,253611.79
1682,306185.67
1683,185221.3
1684,173643.42
1685,175028.2
1686,167357.03
1687,169097.8
1688,187746.2
1689,187039.26
1690,183602.78
1691,174748.44
1692,268567.77
1693,171657.52
1694,182025.65
1695,170072.06
1696,274390.83
1697,170331.77
1698,335927.6
1699,334717.29
1700,248103.84
1701,259132.78
1702,255024.79
1703,257503.15
1704,298464.74
1705,233989.94
1706,445363.45
1707,222801.53
1708,221974.93
1709,274518.03
1710,228472.03
